# This file contains a sequence of unicode symbols that can be displayed
# with Powerline Font. A unicode character could be inserted by pressing
# ctrl+shift u+(unicode code)+(space/enter/tab)

⛴     0x26F4
⛵     0x26F5
⛶     0x26F6
⛷     0x26F7
⛸     0x26F8
⛹     0x26F9
⛺     0x26FA
⛻     0x26FB
⛼     0x26FC
⛽     0x26FD
⛾     0x26FE
⛿     0x26FF
✀     0x2700
✁     0x2701
✂     0x2702
✃     0x2703
✄     0x2704
✅     0x2705
✆     0x2706
✇     0x2707
✈     0x2708
✉     0x2709
✊     0x270A
✋     0x270B
✌     0x270C
✍     0x270D
✎     0x270E
✏     0x270F
✐     0x2710
✑     0x2711
✒     0x2712
✓     0x2713
✔     0x2714
✕     0x2715
✖     0x2716
✗     0x2717
✘     0x2718
✙     0x2719
✚     0x271A
✛     0x271B
✜     0x271C
✝     0x271D
✞     0x271E
✟     0x271F
✠     0x2720
✡     0x2721
✢     0x2722
✣     0x2723
✤     0x2724
✥     0x2725
✦     0x2726
✧     0x2727
✨     0x2728
✩     0x2729
✪     0x272A
✫     0x272B
✬     0x272C
✭     0x272D
✮     0x272E
✯     0x272F
✰     0x2730
✱     0x2731
✲     0x2732
✳     0x2733
✴     0x2734
✵     0x2735
✶     0x2736
✷     0x2737
✸     0x2738
✹     0x2739
✺     0x273A
✻     0x273B
✼     0x273C
✽     0x273D
✾     0x273E
✿     0x273F
❀     0x2740
❁     0x2741
❂     0x2742
❃     0x2743
❄     0x2744
❅     0x2745
❆     0x2746
❇     0x2747
❈     0x2748
❉     0x2749
❊     0x274A
❋     0x274B
❌     0x274C
❍     0x274D
❎     0x274E
❏     0x274F
❐     0x2750
❑     0x2751
❒     0x2752
❓     0x2753
❔     0x2754
❕     0x2755
❖     0x2756
❗     0x2757
❘     0x2758
❙     0x2759
❚     0x275A
❛     0x275B
❜     0x275C
❝     0x275D
❞     0x275E
❟     0x275F
❠     0x2760
❡     0x2761
❢     0x2762
❣     0x2763
❤     0x2764
❥     0x2765
❦     0x2766
❧     0x2767
❨     0x2768
❩     0x2769
❪     0x276A
❫     0x276B
❬     0x276C
❭     0x276D
❮     0x276E
❯     0x276F
❰     0x2770
❱     0x2771
❲     0x2772
❳     0x2773
❴     0x2774
❵     0x2775
❶     0x2776
❷     0x2777
❸     0x2778
❹     0x2779
❺     0x277A
❻     0x277B
❼     0x277C
❽     0x277D
❾     0x277E
❿     0x277F
➀     0x2780
➁     0x2781
➂     0x2782
➃     0x2783
➄     0x2784
➅     0x2785
➆     0x2786
➇     0x2787
➈     0x2788
➉     0x2789
➊     0x278A
➋     0x278B
➌     0x278C
➍     0x278D
➎     0x278E
➏     0x278F
➐     0x2790
➑     0x2791
➒     0x2792
➓     0x2793
➔     0x2794
➕     0x2795
➖     0x2796
➗     0x2797
➘     0x2798
➙     0x2799
➚     0x279A
➛     0x279B
➜     0x279C
➝     0x279D
➞     0x279E
➟     0x279F
➠     0x27A0
➡     0x27A1
➢     0x27A2
➣     0x27A3
➤     0x27A4
➥     0x27A5
➦     0x27A6
➧     0x27A7
➨     0x27A8
➩     0x27A9
➪     0x27AA
➫     0x27AB
➬     0x27AC
➭     0x27AD
➮     0x27AE
➯     0x27AF
➰     0x27B0
➱     0x27B1
➲     0x27B2
➳     0x27B3
➴     0x27B4
➵     0x27B5
➶     0x27B6
➷     0x27B7
➸     0x27B8
➹     0x27B9
➺     0x27BA
➻     0x27BB
➼     0x27BC
➽     0x27BD
➾     0x27BE
➿     0x27BF
⟀     0x27C0
⟁     0x27C1
⟂     0x27C2
⟃     0x27C3
⟄     0x27C4
⟅     0x27C5
⟆     0x27C6
⟇     0x27C7
⟈     0x27C8
⟉     0x27C9
⟊     0x27CA
⟋     0x27CB
⟌     0x27CC
⟍     0x27CD
⟎     0x27CE
⟏     0x27CF
⟐     0x27D0
⟑     0x27D1
⟒     0x27D2
⟓     0x27D3
⟔     0x27D4
⟕     0x27D5
⟖     0x27D6
⟗     0x27D7
⟘     0x27D8
⟙     0x27D9
⟚     0x27DA
⟛     0x27DB
⟜     0x27DC
⟝     0x27DD
⟞     0x27DE
⟟     0x27DF
⟠     0x27E0
⟡     0x27E1
⟢     0x27E2
⟣     0x27E3
⟤     0x27E4
⟥     0x27E5
⟦     0x27E6
⟧     0x27E7
⟨     0x27E8
⟩     0x27E9
⟪     0x27EA
⟫     0x27EB
⟬     0x27EC
